CO_CURSO,MEDIA_NT_CE,QE_I02_A,QE_I02_B,QE_I02_C,QE_I02_D,QE_I02_E,QE_I02_F,QE_I08_A,QE_I08_B,QE_I08_C,QE_I08_D,QE_I08_E,QE_I08_F,QE_I08_G,QE_I17_A,QE_I17_B,QE_I17_C,QE_I17_D,QE_I17_E,QE_I17_F,QE_I04_A,QE_I04_B,QE_I04_C,QE_I04_D,QE_I04_E,QE_I04_F,QE_I05_A,QE_I05_B,QE_I05_C,QE_I05_D,QE_I05_E,QE_I05_F,QE_I06_A,QE_I06_B,QE_I06_C,QE_I06_D,QE_I06_E,QE_I06_F,QE_I07_A,QE_I07_B,QE_I07_C,QE_I07_D,QE_I07_E,QE_I07_F,QE_I07_G,QE_I07_H,QE_I09_A,QE_I09_B,QE_I09_C,QE_I09_D,QE_I09_E,QE_I09_F,QE_I10_A,QE_I10_B,QE_I10_C,QE_I10_D,QE_I10_E,QE_I13_A,QE_I13_B,QE_I13_C,QE_I13_D,QE_I13_E,QE_I13_F,QE_I16_11.0,QE_I16_12.0,QE_I16_13.0,QE_I16_14.0,QE_I16_15.0,QE_I16_16.0,QE_I16_17.0,QE_I16_21.0,QE_I16_22.0,QE_I16_23.0,QE_I16_24.0,QE_I16_25.0,QE_I16_26.0,QE_I16_27.0,QE_I16_28.0,QE_I16_29.0,QE_I16_31.0,QE_I16_32.0,QE_I16_33.0,QE_I16_35.0,QE_I16_41.0,QE_I16_42.0,QE_I16_43.0,QE_I16_50.0,QE_I16_51.0,QE_I16_52.0,QE_I16_53.0,QE_I16_99.0,QE_I21_A,QE_I21_B,QE_I22_A,QE_I22_B,QE_I22_C,QE_I22_D,QE_I22_E,QE_I23_A,QE_I23_B,QE_I23_C,QE_I23_D,QE_I23_E,QE_I25_A,QE_I25_B,QE_I25_C,QE_I25_D,QE_I25_E,QE_I25_F,QE_I25_G,QE_I25_H,CO_IES,CO_MODALIDADE,CO_UF_CURSO,CO_MUNIC_CURSO,CO_CATEGAD,CO_REGIAO_CURSO
3,59.15161290322581,0.4838709677419355,0.0967741935483871,0.0,0.41935483870967744,0.0,0.0,0.03225806451612903,0.06451612903225806,0.3225806451612903,0.22580645161290322,0.22580645161290322,0.0967741935483871,0.03225806451612903,0.45161290322580644,0.4838709677419355,0.0,0.06451612903225806,0.0,0.0,0.03225806451612903,0.06451612903225806,0.0967741935483871,0.22580645161290322,0.41935483870967744,0.16129032258064516,0.0,0.03225806451612903,0.06451612903225806,0.1935483870967742,0.5483870967741935,0.16129032258064516,0.1935483870967742,0.7419354838709677,0.0,0.06451612903225806,0.0,0.0,0.22580645161290322,0.12903225806451613,0.1935483870967742,0.3225806451612903,0.12903225806451613,0.0,0.0,0.0,0.03225806451612903,0.1935483870967742,0.5806451612903226,0.16129032258064516,0.03225806451612903,0.0,0.5483870967741935,0.03225806451612903,0.22580645161290322,0.16129032258064516,0.03225806451612903,0.8064516129032258,0.0,0.0967741935483871,0.0967741935483871,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.8709677419354839,0.0,0.03225806451612903,0.0,0.8709677419354839,0.12903225806451613,0.3225806451612903,0.3548387096774194,0.06451612903225806,0.06451612903225806,0.1935483870967742,0.03225806451612903,0.22580645161290322,0.22580645161290322,0.22580645161290322,0.2903225806451613,0.16129032258064516,0.12903225806451613,0.12903225806451613,0.0,0.4838709677419355,0.0,0.0,0.0967741935483871,1,1,51,5103403,1,5
10,40.945454545454545,0.4166666666666667,0.25,0.0,0.3333333333333333,0.0,0.0,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.16666666666666666,0.75,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.08333333333333333,0.25,0.25,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.25,0.08333333333333333,0.08333333333333333,0.0,0.6666666666666666,0.08333333333333333,0.0,0.25,0.0,0.08333333333333333,0.5,0.0,0.25,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,0.75,0.25,0.25,0.3333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.5,0.25,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.0,0.08333333333333333,0.25,1,1,51,5103403,1,5
16,49.391304347826086,0.4074074074074074,0.18518518518518517,0.0,0.4074074074074074,0.0,0.0,0.037037037037037035,0.3333333333333333,0.1111111111111111,0.18518518518518517,0.2222222222222222,0.1111111111111111,0.0,0.5925925925925926,0.3333333333333333,0.0,0.07407407407407407,0.0,0.0,0.037037037037037035,0.18518518518518517,0.07407407407407407,0.37037037037037035,0.2962962962962963,0.037037037037037035,0.0,0.0,0.07407407407407407,0.4074074074074074,0.3333333333333333,0.18518518518518517,0.2222222222222222,0.6296296296296297,0.037037037037037035,0.1111111111111111,0.0,0.0,0.2222222222222222,0.2222222222222222,0.14814814814814814,0.18518518518518517,0.07407407407407407,0.1111111111111111,0.037037037037037035,0.0,0.0,0.25925925925925924,0.5185185185185185,0.1111111111111111,0.1111111111111111,0.0,0.5555555555555556,0.07407407407407407,0.1111111111111111,0.1111111111111111,0.14814814814814814,0.4444444444444444,0.18518518518518517,0.07407407407407407,0.037037037037037035,0.25925925925925924,0.0,0.14814814814814814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.07407407407407407,0.0,0.0,0.8518518518518519,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.14814814814814814,0.14814814814814814,0.1111111111111111,0.037037037037037035,0.14814814814814814,0.37037037037037035,0.18518518518518517,0.25925925925925924,0.2962962962962963,0.14814814814814814,0.07407407407407407,0.037037037037037035,0.18518518518518517,0.0,0.07407407407407407,0.18518518518518517,1,1,51,5103403,1,5
136,60.329032258064515,0.6176470588235294,0.08823529411764706,0.0,0.27941176470588236,0.0,0.014705882352941176,0.07352941176470588,0.19117647058823528,0.08823529411764706,0.058823529411764705,0.17647058823529413,0.29411764705882354,0.11764705882352941,0.47058823529411764,0.5,0.0,0.0,0.029411764705882353,0.0,0.0,0.058823529411764705,0.07352941176470588,0.3235294117647059,0.35294117647058826,0.19117647058823528,0.029411764705882353,0.04411764705882353,0.04411764705882353,0.19117647058823528,0.38235294117647056,0.3088235294117647,0.11764705882352941,0.7352941176470589,0.08823529411764706,0.058823529411764705,0.0,0.0,0.14705882352941177,0.14705882352941177,0.14705882352941177,0.38235294117647056,0.11764705882352941,0.029411764705882353,0.014705882352941176,0.014705882352941176,0.058823529411764705,0.14705882352941177,0.47058823529411764,0.1323529411764706,0.16176470588235295,0.029411764705882353,0.5,0.014705882352941176,0.19117647058823528,0.19117647058823528,0.10294117647058823,0.39705882352941174,0.22058823529411764,0.029411764705882353,0.16176470588235295,0.10294117647058823,0.08823529411764706,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.014705882352941176,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.08823529411764706,0.8235294117647058,0.0,0.8529411764705882,0.14705882352941177,0.27941176470588236,0.29411764705882354,0.25,0.07352941176470588,0.10294117647058823,0.014705882352941176,0.17647058823529413,0.3382352941176471,0.29411764705882354,0.17647058823529413,0.36764705882352944,0.14705882352941177,0.17647058823529413,0.04411764705882353,0.22058823529411764,0.0,0.0,0.04411764705882353,2,1,53,5300108,1,5
137,47.117721518987345,0.5542168674698795,0.07228915662650602,0.012048192771084338,0.3253012048192771,0.0,0.03614457831325301,0.04819277108433735,0.10843373493975904,0.12048192771084337,0.07228915662650602,0.2289156626506024,0.3373493975903614,0.08433734939759036,0.3493975903614458,0.6265060240963856,0.0,0.0,0.012048192771084338,0.012048192771084338,0.024096385542168676,0.04819277108433735,0.07228915662650602,0.2891566265060241,0.3373493975903614,0.2289156626506024,0.0,0.060240963855421686,0.08433734939759036,0.21686746987951808,0.3855421686746988,0.25301204819277107,0.03614457831325301,0.8554216867469879,0.07228915662650602,0.0,0.024096385542168676,0.012048192771084338,0.04819277108433735,0.1686746987951807,0.26506024096385544,0.3493975903614458,0.08433734939759036,0.060240963855421686,0.024096385542168676,0.0,0.024096385542168676,0.2289156626506024,0.4578313253012048,0.13253012048192772,0.13253012048192772,0.024096385542168676,0.5060240963855421,0.04819277108433735,0.1566265060240964,0.07228915662650602,0.21686746987951808,0.4939759036144578,0.20481927710843373,0.024096385542168676,0.26506024096385544,0.0,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.04819277108433735,0.891566265060241,0.0,0.9397590361445783,0.060240963855421686,0.27710843373493976,0.3132530120481928,0.1927710843373494,0.024096385542168676,0.1927710843373494,0.03614457831325301,0.12048192771084337,0.3373493975903614,0.24096385542168675,0.26506024096385544,0.20481927710843373,0.060240963855421686,0.18072289156626506,0.07228915662650602,0.3493975903614458,0.0,0.0,0.13253012048192772,2,1,53,5300108,1,5
138,56.3875,0.5882352941176471,0.07352941176470588,0.014705882352941176,0.3088235294117647,0.0,0.014705882352941176,0.058823529411764705,0.08823529411764706,0.1323529411764706,0.11764705882352941,0.17647058823529413,0.3235294117647059,0.10294117647058823,0.3382352941176471,0.6323529411764706,0.0,0.029411764705882353,0.0,0.0,0.014705882352941176,0.029411764705882353,0.14705882352941177,0.25,0.27941176470588236,0.27941176470588236,0.0,0.029411764705882353,0.04411764705882353,0.2647058823529412,0.3235294117647059,0.3382352941176471,0.08823529411764706,0.8235294117647058,0.058823529411764705,0.029411764705882353,0.0,0.0,0.10294117647058823,0.1323529411764706,0.23529411764705882,0.3088235294117647,0.10294117647058823,0.058823529411764705,0.058823529411764705,0.0,0.058823529411764705,0.5735294117647058,0.27941176470588236,0.0,0.04411764705882353,0.04411764705882353,0.7794117647058824,0.07352941176470588,0.029411764705882353,0.04411764705882353,0.07352941176470588,0.4411764705882353,0.35294117647058826,0.029411764705882353,0.17647058823529413,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.014705882352941176,0.0,0.014705882352941176,0.014705882352941176,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.014705882352941176,0.014705882352941176,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.8382352941176471,0.014705882352941176,0.8970588235294118,0.10294117647058823,0.1323529411764706,0.39705882352941174,0.2647058823529412,0.10294117647058823,0.10294117647058823,0.0,0.14705882352941177,0.3235294117647059,0.25,0.27941176470588236,0.16176470588235295,0.058823529411764705,0.08823529411764706,0.058823529411764705,0.5,0.0,0.0,0.1323529411764706,2,1,53,5300108,1,5
139,45.2231884057971,0.4025974025974026,0.18181818181818182,0.012987012987012988,0.36363636363636365,0.012987012987012988,0.025974025974025976,0.24675324675324675,0.18181818181818182,0.11688311688311688,0.1038961038961039,0.2857142857142857,0.05194805194805195,0.012987012987012988,0.4675324675324675,0.4675324675324675,0.0,0.012987012987012988,0.03896103896103896,0.012987012987012988,0.03896103896103896,0.1038961038961039,0.12987012987012986,0.33766233766233766,0.3246753246753247,0.06493506493506493,0.03896103896103896,0.05194805194805195,0.05194805194805195,0.35064935064935066,0.2857142857142857,0.22077922077922077,0.06493506493506493,0.7532467532467533,0.09090909090909091,0.09090909090909091,0.0,0.0,0.15584415584415584,0.2077922077922078,0.22077922077922077,0.2727272727272727,0.1038961038961039,0.025974025974025976,0.012987012987012988,0.0,0.11688311688311688,0.2727272727272727,0.37662337662337664,0.06493506493506493,0.14285714285714285,0.025974025974025976,0.5454545454545454,0.11688311688311688,0.16883116883116883,0.09090909090909091,0.07792207792207792,0.38961038961038963,0.35064935064935066,0.05194805194805195,0.16883116883116883,0.0,0.03896103896103896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.8701298701298701,0.0,0.7792207792207793,0.22077922077922077,0.16883116883116883,0.45454545454545453,0.22077922077922077,0.05194805194805195,0.1038961038961039,0.025974025974025976,0.2727272727272727,0.38961038961038963,0.14285714285714285,0.16883116883116883,0.1038961038961039,0.05194805194805195,0.03896103896103896,0.012987012987012988,0.38961038961038963,0.0,0.15584415584415584,0.24675324675324675,2,1,53,5300108,1,5
294,56.38,0.2972972972972973,0.21621621621621623,0.0,0.4864864864864865,0.0,0.0,0.32432432432432434,0.24324324324324326,0.21621621621621623,0.16216216216216217,0.05405405405405406,0.0,0.0,0.6216216216216216,0.35135135135135137,0.0,0.02702702702702703,0.0,0.0,0.05405405405405406,0.32432432432432434,0.13513513513513514,0.32432432432432434,0.16216216216216217,0.0,0.0,0.1891891891891892,0.05405405405405406,0.32432432432432434,0.2972972972972973,0.13513513513513514,0.13513513513513514,0.5945945945945946,0.10810810810810811,0.13513513513513514,0.02702702702702703,0.0,0.2972972972972973,0.1891891891891892,0.1891891891891892,0.24324324324324326,0.05405405405405406,0.02702702702702703,0.0,0.0,0.05405405405405406,0.35135135135135137,0.3783783783783784,0.10810810810810811,0.08108108108108109,0.02702702702702703,0.5945945945945946,0.0,0.10810810810810811,0.13513513513513514,0.16216216216216217,0.7837837837837838,0.10810810810810811,0.02702702702702703,0.05405405405405406,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7837837837837838,0.1891891891891892,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7837837837837838,0.21621621621621623,0.16216216216216217,0.4594594594594595,0.21621621621621623,0.08108108108108109,0.08108108108108109,0.02702702702702703,0.24324324324324326,0.21621621621621623,0.2972972972972973,0.21621621621621623,0.21621621621621623,0.08108108108108109,0.08108108108108109,0.05405405405405406,0.43243243243243246,0.0,0.0,0.13513513513513514,3,1,28,2806701,1,2
295,39.98846153846154,0.37037037037037035,0.3333333333333333,0.0,0.2962962962962963,0.0,0.0,0.25925925925925924,0.25925925925925924,0.14814814814814814,0.2222222222222222,0.07407407407407407,0.037037037037037035,0.0,0.48148148148148145,0.48148148148148145,0.037037037037037035,0.0,0.0,0.0,0.0,0.18518518518518517,0.037037037037037035,0.5185185185185185,0.07407407407407407,0.18518518518518517,0.0,0.07407407407407407,0.1111111111111111,0.4074074074074074,0.2222222222222222,0.18518518518518517,0.2222222222222222,0.48148148148148145,0.037037037037037035,0.25925925925925924,0.0,0.0,0.37037037037037035,0.14814814814814814,0.14814814814814814,0.2962962962962963,0.037037037037037035,0.0,0.0,0.0,0.037037037037037035,0.2222222222222222,0.4074074074074074,0.2222222222222222,0.1111111111111111,0.0,0.5555555555555556,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.2222222222222222,0.5925925925925926,0.25925925925925924,0.07407407407407407,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.6296296296296297,0.2962962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8518518518518519,0.14814814814814814,0.2962962962962963,0.25925925925925924,0.25925925925925924,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.37037037037037035,0.2222222222222222,0.2962962962962963,0.07407407407407407,0.2962962962962963,0.0,0.2222222222222222,0.0,0.25925925925925924,0.0,0.0,0.2222222222222222,3,1,28,2806701,1,2
383,49.57674418604652,0.2558139534883721,0.06976744186046512,0.0,0.6744186046511628,0.0,0.0,0.06976744186046512,0.2558139534883721,0.2558139534883721,0.27906976744186046,0.09302325581395349,0.046511627906976744,0.0,0.6511627906976745,0.27906976744186046,0.0,0.023255813953488372,0.046511627906976744,0.0,0.0,0.06976744186046512,0.20930232558139536,0.37209302325581395,0.2558139534883721,0.09302325581395349,0.0,0.0,0.046511627906976744,0.5581395348837209,0.11627906976744186,0.27906976744186046,0.06976744186046512,0.7906976744186046,0.09302325581395349,0.046511627906976744,0.0,0.0,0.06976744186046512,0.23255813953488372,0.20930232558139536,0.20930232558139536,0.18604651162790697,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.0,0.11627906976744186,0.5116279069767442,0.11627906976744186,0.2558139534883721,0.0,0.32558139534883723,0.13953488372093023,0.09302325581395349,0.20930232558139536,0.23255813953488372,0.4186046511627907,0.11627906976744186,0.20930232558139536,0.20930232558139536,0.0,0.046511627906976744,0.0,0.0,0.9302325581395349,0.0,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8604651162790697,0.13953488372093023,0.3488372093023256,0.32558139534883723,0.20930232558139536,0.06976744186046512,0.046511627906976744,0.023255813953488372,0.32558139534883723,0.32558139534883723,0.11627906976744186,0.20930232558139536,0.16279069767441862,0.18604651162790697,0.18604651162790697,0.023255813953488372,0.3023255813953488,0.0,0.0,0.13953488372093023,4,1,13,1302603,1,1
