,MEDIA_NT_CE
QE_I13_B,0.7386815299927613
QE_I17_B,0.6948408237706629
QE_I05_E,0.6693667978445578
QE_I05_F,0.6567207239693399
QE_I04_F,0.6535892278813807
QE_I04_E,0.6165651139089295
QE_I06_D,0.6076457992476283
QE_I07_A,0.5917048067037255
QE_I13_D,0.5872160246131565
QE_I25_E,0.5769266094949241
QE_I08_F,0.562804163452615
QE_I21_A,0.5542726514082024
QE_I10_A,0.5443034530120858
QE_I25_A,0.459059946269018
QE_I15_E,0.45060930968766494
QE_I23_E,0.4479622822874575
QE_I10_D,0.4458496776016742
QE_I13_C,0.42441476638103753
QE_I09_C,0.41221247874417843
QE_I08_G,0.4024664195530266
QE_I12_D,0.3753443311908433
QE_I23_D,0.3746668523665422
QE_I10_C,0.3726384603842276
QE_I15_D,0.37113901788197384
QE_I13_E,0.3707308297102827
QE_I09_B,0.35808745208576853
QE_I22_A,0.3507975416660793
QE_I16_28.0,0.3231920837381611
QE_I06_B,0.30236975289791135
QE_I16_17.0,0.28817602938329523
QE_I12_C,0.28783120031167914
QE_I09_D,0.27863314965700725
QE_I06_A,0.27651423069858233
QE_I12_E,0.2762342386556494
QE_I06_E,0.2554273583263141
QE_I08_E,0.25255310388451796
QE_I02_C,0.2453813727548379
QE_I11_A,0.23376383983796203
QE_I06_F,0.23329981593770951
QE_I16_41.0,0.2035940576638359
QE_I16_16.0,0.19642477928914262
QE_I16_23.0,0.1723666470619383
QE_I16_26.0,0.16941775073673418
QE_I16_22.0,0.16719556659121385
QE_I13_F,0.15585685795910117
QE_I12_B,0.15077651048638788
QE_I17_F,0.15054721310134633
QE_I15_C,0.15012725867502225
QE_I16_27.0,0.148215316728813
QE_I16_32.0,0.12634514036577144
QE_I02_A,0.1255612353472895
QE_I02_F,0.11046939958353938
QE_I16_25.0,0.09431047911609465
QE_I16_50.0,0.08923887977927786
QE_I16_43.0,0.08788012518064879
QE_I16_42.0,0.08510763489344363
QE_I16_24.0,0.08338073582762184
QE_I16_29.0,0.08230888602275317
QE_I04_D,0.06860820339129622
QE_I25_B,0.06548883360883188
QE_I07_H,0.060415107938367345
QE_I16_12.0,0.05689403206963783
QE_I16_14.0,0.05133701683191454
QE_I09_A,0.04635887409988151
QE_I16_31.0,0.04300093337020721
QE_I16_21.0,0.038171640385966966
QE_I08_D,0.03611811605605069
QE_I23_C,0.03463525633264759
QE_I16_13.0,0.03017692199261885
QE_I25_G,0.017984713112994846
QE_I12_F,0.013851544974147667
QE_I16_53.0,0.004147527125933289
QE_I17_C,0.003419568574905356
QE_I16_15.0,-0.009722576258568497
QE_I22_D,-0.016640919959198548
QE_I16_33.0,-0.018678982168910726
QE_I16_11.0,-0.019507088774097747
QE_I15_B,-0.01989613500010441
QE_I16_52.0,-0.03007041981244398
QE_I22_B,-0.03233169405274416
QE_I05_D,-0.040117428064115154
QE_I16_51.0,-0.04074573995489146
QE_I25_D,-0.046825986329359456
QE_I07_G,-0.04787805740476893
QE_I11_F,-0.05169519256308161
QE_I11_J,-0.05180988167592226
QE_I15_F,-0.056934392233265387
QE_I02_D,-0.060081894918079824
QE_I11_K,-0.06403460287523209
QE_I17_E,-0.0686497195369017
QE_I02_E,-0.07475872943361637
QE_I11_D,-0.08940979794453383
QE_I11_E,-0.10485809408340999
QE_I22_C,-0.10779545757803664
QE_I11_C,-0.10843978415889713
QE_I25_H,-0.11520663022902622
QE_I16_99.0,-0.11594378692997545
QE_I11_B,-0.12612131872445512
QE_I07_B,-0.13485558740172232
QE_I08_A,-0.13612424260825487
QE_I11_H,-0.14572011963458548
QE_I11_I,-0.1499970802760959
QE_I10_B,-0.1627791644036602
QE_I07_C,-0.17736359016150127
QE_I22_E,-0.18959919567020608
QE_I23_A,-0.22149057467471123
QE_I07_F,-0.22433341840742305
QE_I02_B,-0.22596110304757294
QE_I11_G,-0.23482868509079835
QE_I09_E,-0.2404682552408693
QE_I04_A,-0.28936189639857113
QE_I17_D,-0.2902142968313863
QE_I08_C,-0.2902630110139963
QE_I07_D,-0.2943955566260986
QE_I07_E,-0.2985559994032261
QE_I12_A,-0.33082795855452735
QE_I15_A,-0.3450368436204146
QE_I25_C,-0.39057063329371855
QE_I23_B,-0.40627945836501406
QE_I04_C,-0.4186490396498137
QE_I16_35.0,-0.4257150829772944
QE_I05_C,-0.4325279990577711
QE_I21_B,-0.4906421118297512
QE_I08_B,-0.5222642074314815
QE_I10_E,-0.5553219999066853
QE_I05_A,-0.5574599355905813
QE_I09_F,-0.5711220766150014
QE_I17_A,-0.6005199085490586
QE_I04_B,-0.6016120376421553
QE_I25_F,-0.624334350046138
QE_I06_C,-0.6243809490643246
QE_I05_B,-0.6316083515111737
QE_I13_A,-0.6779714148294677
